"hagrid";"gene_name";"hgncid";"entrezid";"organism";"cancer_type";"senescence_effect";"description";"notes"
"258";"TPR";"12017";"7175";"Human";"Yes";"Inhibits";"Depletion of TPR by RNA interference triggered G0-G1 arrest and ultimately induced a senescent-like phenotype dependent on the presence of p53 in HeLa cells as well as in U2OS osteosarcoma and A375 melanoma cells.";"HeLa cells, A375, 293 and U2OS cells"
"259";"TP53";"11998";"7157";"Human";"Yes";"Induces";"Overexpression of wild type p53 (TP53) in EJ cells (which have lost functional p53) triggered rapid growth arrest with senescence features. Growth arrest in response to p53 induction was irreversible within 48-72 hrs. 95% of EJ-p53 cells showed high levels of SA-beta-galactosidase staining. The cells also showed the flattened, enlarged cell morphology commonly observed in senescent fibroblasts.";""
"260";"TRIM28";"16384";"10155";"Human";"No";"Induces";"TRIM28 accumulated during oncogene induced senescence, becoming phosphorylated on serine 824. TRIM28 knockdown cells partially prevented cell arrest during oncogene induced senescence. Whilst induction of p53 and p21 during oncogene induced senescence was not affected by TRIM28 depletion, p16 induction was partially prevented. The induction of IL8, IL6 and other SASP components was strongly suppressed upon TRIM28 depletion.";"HEK-293T and IMR-90 cells"
"261";"TRPM8";"17961";"79054";"Human";"Yes";"Inhibits";"RNA interference of TRPM8 induced replicative senescence in pancreatic adenocarcinoma cells.";"Pancreatic adenocarcinoma cells"
"262";"TXN";"12435";"7295";"Human";"No";"Inhibits";"Suppression of TRX1 (TXN) expression via RNA interference induced premature senescence in young human skin fibroblasts through upregulation of the p53/p21 and p16 tumor suppressor pathways.";""
"263";"TXNIP";"16952";"10628";"Human";"No";"Induces";"VDUP1 (TXNIP) is up-regulated during the senescence process and its overexpression in young cells lead to typical signs of senescence. Contrastly, knockdown of VDUP1 delayed the onset of Ras-induced cellular senescence.";""
"264";"UBTD1";"25683";"80019";"Human";"Yes";"Induces";"Ubiquitin domain-containing 1 (UBTD1) gene, a downstream target of p53, induced cellular senescence and acted as a novel tumor suppressor by a mechanism dependant on p53. Expression of UBTD1 increased upon cellular senescence induced by serial passaging of cultures or exposure to DNA-damaging drugs. Overexpression of UBTD1 induced senescence in human fibroblasts and cancer cells, along with attenuation of the transformed phenotype in cancer cells. These showed increased SA-beta-galactosidase activity.";"Human fibroblasts and cancer cells"
"265";"TYK2";"12440";"7297";"Human";"No";"Induces";"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest.";"IMR-90, MRC-5 , and GP293 cells"
"266";"VENTX";"13639";"27287";"Human";"Yes";"Induces";"Ectopic expression of VENTX in cancer cells (U2OS and HeLa) caused an irreversible cell cycle arrest with a typical senescence-like phenotype. Conversely, RNA interference of VentX reduces chemotherapeutic agent-induced senescence in lymphocytic leukaemia cells. In normal lung fibroblasts, overexpression of VentX also caused a typical senescence phenotype.";"Human embryonic kidney cell line 293 (HEK293), human cervical cancer cell line HeLa, human osteosarcoma U2OS cell line, and human primary fibroblasts IMR-90, human acute lymphoblastic leukaemia cell line Nalm16"
"267";"USP1";"12607";"7398";"Human";"No";"Inhibits";"Silencing of USP1 expression in WI-38 and BJ cells resulted in cell-cycle arrest with senescence features. Repression of USP1 induced FANCD2 chromatin aggregation and replication stress. Replication was then repressed through FANCD2-FI-ATR-CHK1-p53-CDKN1A signalling. Thus, USP1 acts as a key senescence regulator by controlling genomic integrity.";""
"268";"VEGFA";"12680";"7422";"Human";"No";"Inhibits";"Supplementation with VEGFA in dermal microvascular endothelial cells resulted in cells having a longer replicative lifespan, normal nuclear morphology being largely maintained even at later passages.";""
"269";"WNT16";"16267";"51384";"Human";"No";"Induces";"RNA interference of WNT16B increased the replicative potential of presenescent lung fibroblasts.";""
"270";"WNT2";"12780";"7472";"Human";"No";"Inhibits";"RNA interference of WNT2 in young, growing human WI-38 fibroblasts, lead to a partially senescence phenotype, including recruitment of chaperone HIRA to PML bodies, formation of SA-heterochromatin foci and increased SA-beta-galactosidase activity but no changes in morphology.";""
"271";"WRN";"12791";"7486";"Human";"Yes";"Inhibits";"WRN expression was required to avoid cellular senescence upon MYC up-regulation in hTERT-immortalized fibroblasts. Cells that were WRN depleted lost proliferative capacity and showed increased SA-beta-galactosidase activity. Thus, WRN suppresses Myc-induced senescence.";""
"272";"WT1";"12796";"7490";"Human";"Yes";"Inhibits";"Loss of Wilms Tumor 1 (WT1) in human lung cancer cells dependent on oncogenic KRAS resulted in reduced proliferation and induced senescence, thus shifting cell fate from hyperproliferation to oncogene-induced senescence.";""
"273";"XAF1";"30932";"54739";"Human";"No";"Induces";"XAF1 expression was increased by genotoxic agents, such as doxorubicin and ionizing radiation in pulmonary microvascular endothelial cells, consequently leading to premature senescence. Conversely, downregulation of XAF1 in premature senescent cells partially overcame endothelial cell senescence. p53 knockdown, but not p16 knockdown, abolished senescence phenotypes caused by XAF1 induction. XAF1 expression was transcriptionally regulated by Bromodomain 7 (BRD7). XAF1 induction with interferon-gamma (IFN-gamma) treatment was abrogated by BRD7 knockdown, which resulted in blocking interferon-induced senescence.";"Human lung microvascular endothelial cells"
"274";"WWP1";"17004";"11059";"Human";"No";"Inhibits";"Overexpression of WWP1 delayed senescence, whereas knockdown of WWP1 led to premature senescence in human fibroblasts.";"Human embryonic lung diploid fibroblast 2BS cells, human embryonic lung diploid fibroblast WI-38 cells"
"275";"YAP1";"16262";"10413";"Human";"No";"Inhibits";"Silencing of YAP1 inhibited cell proliferation and induced premature senescence. In additional experiments, it was shown that cellular senescence induced by YAP1 deficiency is TEAD- and Rb/p16/p53-dependent.";"IMR-90, WI-38, and BJ cell lines"
"276";"YPEL3";"18327";"83719";"Human";"Yes";"Induces";"YPEL3 expression, which is induced by the removal of estrogen or treatment with tamoxifen, triggered cellular senescence in breast cancer cells (MCF-7), whilst loss of YPEL3 increased the growth rate of MCF-7 cells.";"MCF-7 breast cancer cells"
"277";"ZFP36";"12862";"7538";"Human";"Yes";"Induces";"Expression of TTP (ZFP36) in HeLA cells resulted in a marked reduction in proliferation, a flattened morphology resembling that of replicative senescence and upon longer exposure to TTP, elevated levels of SA-beta-galactosidase .";""
"278";"ZMAT3";"29983";"64393";"Human";"Yes";"Inhibits";"Depletion of Wig1 (ZMAT3) prohibited miRNA-mediated p21 mRNA decay and resulted in premature senescence.";"MCF-7, HEK 293T, U2OS, and HDF cells"
"279";"ZNF148";"12933";"7707";"Human";"Yes";"Inhibits";"In human lung cancer cells RNA interference of ZBP-89 (ZNF148) stimulated cellular senescence, with cells displaying an increase in SA-beta-galactosidase activity and SA-heterochromatin foci.";""
